city,zone,season,disruption_freq,infrastructure,is_rural,activity_tier,poverty_score,premium
Pune,low,winter,8,average,False,low,0.56,20
Kolkata,high,winter,8,poor,False,high,0.53,43
Bhubaneswar,high,winter,12,poor,True,low,0.57,43
Patna,critical,summer,10,poor,True,high,0.61,65
Kolkata,high,monsoon,10,poor,False,low,0.42,50
Bhubaneswar,high,monsoon,8,poor,True,low,0.68,61
Nagpur,medium,spring,6,poor,True,medium,0.94,40
Bhubaneswar,high,summer,11,poor,True,high,0.58,65
Hyderabad,low,winter,6,average,False,low,0.58,20
Pune,low,monsoon,5,average,False,low,0.66,21
Hyderabad,low,winter,5,average,False,low,0.93,20
Hyderabad,low,spring,3,average,False,low,0.57,20
Bengaluru,medium,summer,8,good,False,medium,0.44,26
Bengaluru,medium,spring,8,good,False,medium,0.52,24
Mumbai,critical,spring,10,average,False,medium,0.8,47
Chennai,high,summer,10,average,False,medium,0.39,40
Pune,low,winter,7,average,False,medium,0.86,20
Pune,low,winter,4,average,False,medium,0.43,20
Nagpur,medium,spring,8,poor,True,medium,0.86,41
Chennai,high,spring,11,average,False,medium,0.38,36
Pune,low,monsoon,8,average,False,medium,0.72,24
Bhubaneswar,high,summer,9,poor,True,medium,0.55,57
Bhubaneswar,high,spring,8,poor,True,medium,0.48,52
Bengaluru,medium,monsoon,6,good,False,low,0.77,29
Delhi,medium,winter,9,good,False,medium,0.62,23
Delhi,medium,summer,6,good,False,low,0.91,25
Chennai,high,winter,11,average,False,high,0.42,36
Hyderabad,low,winter,5,average,False,low,0.68,20
Bhubaneswar,high,summer,12,poor,True,high,0.34,64
Patna,critical,monsoon,12,poor,True,low,0.79,65
Mumbai,critical,monsoon,13,average,False,low,0.81,50
Pune,low,spring,7,average,False,medium,0.37,20
Bhubaneswar,high,monsoon,9,poor,True,low,0.84,62
Bengaluru,medium,spring,8,good,False,high,0.72,28
Patna,critical,spring,10,poor,True,low,0.54,58
Pune,low,spring,8,average,False,high,0.88,22
Hyderabad,low,spring,5,average,False,high,0.49,20
Nagpur,medium,monsoon,7,poor,True,medium,0.46,50
Bhubaneswar,high,winter,9,poor,True,low,0.56,42
Kolkata,high,summer,10,poor,False,medium,0.61,49
Bengaluru,medium,spring,7,good,False,medium,0.97,26
Patna,critical,winter,11,poor,True,medium,0.6,60
Pune,low,spring,7,average,False,high,0.51,20
Nagpur,medium,spring,7,poor,True,medium,0.46,38
Mumbai,critical,spring,13,average,False,high,0.89,50
Hyderabad,low,spring,4,average,False,low,0.91,20
Hyderabad,low,spring,6,average,False,medium,0.41,20
Bengaluru,medium,summer,5,good,False,high,0.55,29
Hyderabad,low,monsoon,5,average,False,high,0.69,26
Mumbai,critical,spring,10,average,False,medium,0.66,46
Mumbai,critical,monsoon,11,average,False,low,0.99,50
Hyderabad,low,spring,4,average,False,low,0.58,20
Kolkata,high,monsoon,12,poor,False,low,0.77,50
Bhubaneswar,high,monsoon,10,poor,True,low,0.51,60
Patna,critical,winter,14,poor,True,low,0.42,53
Delhi,medium,winter,7,good,False,medium,0.98,24
Bhubaneswar,high,summer,9,poor,True,high,0.64,64
Chennai,high,spring,7,average,False,medium,0.93,38
Bengaluru,medium,winter,6,good,False,high,0.88,26
Hyderabad,low,monsoon,7,average,False,medium,0.65,24
Bengaluru,medium,summer,7,good,False,high,0.96,32
Bengaluru,medium,monsoon,8,good,False,low,0.75,29
Delhi,medium,spring,8,good,False,low,0.34,21
Mumbai,critical,monsoon,10,average,False,high,0.34,50
Delhi,medium,summer,6,good,False,low,0.47,23
Mumbai,critical,summer,9,average,False,medium,0.49,50
Pune,low,spring,7,average,False,high,0.66,20
Pune,low,spring,4,average,False,high,0.73,20
Bengaluru,medium,summer,7,good,False,medium,0.6,27
Hyderabad,low,spring,7,average,False,low,0.56,20
Kolkata,high,monsoon,12,poor,False,high,0.84,50
Pune,low,monsoon,6,average,False,high,0.31,24
Hyderabad,low,monsoon,4,average,False,low,0.73,21
Hyderabad,low,monsoon,4,average,False,high,0.98,27
Delhi,medium,summer,10,good,False,high,0.38,30
Hyderabad,low,spring,7,average,False,medium,0.39,20
Delhi,medium,spring,9,good,False,medium,0.63,25
Patna,critical,summer,13,poor,True,high,0.62,65
Hyderabad,low,monsoon,7,average,False,high,0.97,28
Chennai,high,spring,7,average,False,high,0.78,41
Chennai,high,monsoon,8,average,False,medium,0.48,47
Nagpur,medium,summer,8,poor,True,low,0.65,39
Nagpur,medium,winter,5,poor,True,low,0.92,32
Pune,low,spring,8,average,False,low,0.37,20
Chennai,high,winter,11,average,False,high,0.33,36
Pune,low,winter,4,average,False,high,0.86,20
Mumbai,critical,spring,9,average,False,high,0.66,50
Nagpur,medium,monsoon,8,poor,True,low,0.98,47
Mumbai,critical,winter,11,average,False,low,0.42,36
Hyderabad,low,summer,4,average,False,medium,0.36,20
Chennai,high,winter,7,average,False,high,0.57,36
Delhi,medium,winter,6,good,False,medium,0.48,21
Patna,critical,summer,10,poor,True,medium,0.63,65
Delhi,medium,monsoon,10,good,False,low,0.99,31
Kolkata,high,summer,12,poor,False,low,0.66,44
Delhi,medium,winter,7,good,False,low,0.38,20
Delhi,medium,winter,6,good,False,high,0.56,24
Bhubaneswar,high,summer,9,poor,True,medium,0.49,57
Bengaluru,medium,summer,7,good,False,low,0.92,25
Nagpur,medium,summer,7,poor,True,medium,0.87,44
Pune,low,winter,4,average,False,high,0.68,20
Hyderabad,low,summer,7,average,False,medium,0.89,21
Nagpur,medium,monsoon,8,poor,True,low,0.52,45
Kolkata,high,winter,8,poor,False,medium,0.68,40
Delhi,medium,monsoon,10,good,False,high,0.81,37
Delhi,medium,winter,8,good,False,low,0.89,21
Kolkata,high,winter,12,poor,False,high,0.82,46
Mumbai,critical,winter,11,average,False,low,0.78,38
Pune,low,spring,4,average,False,high,0.41,20
Bhubaneswar,high,monsoon,8,poor,True,high,0.92,65
Bengaluru,medium,spring,6,good,False,medium,0.76,25
Patna,critical,monsoon,14,poor,True,medium,0.73,65
Delhi,medium,summer,10,good,False,high,0.69,31
Kolkata,high,monsoon,9,poor,False,medium,0.32,50
Chennai,high,monsoon,7,average,False,medium,0.83,48
Bengaluru,medium,winter,6,good,False,low,0.51,20
Nagpur,medium,winter,9,poor,True,medium,0.56,35
Bengaluru,medium,spring,5,good,False,medium,0.72,24
Hyderabad,low,monsoon,7,average,False,medium,0.79,24
Hyderabad,low,monsoon,6,average,False,high,0.57,26
Chennai,high,winter,10,average,False,high,0.75,38
Nagpur,medium,summer,6,poor,True,low,0.79,39
Nagpur,medium,monsoon,6,poor,True,medium,0.86,52
Mumbai,critical,summer,11,average,False,medium,0.79,50
Bhubaneswar,high,monsoon,12,poor,True,low,0.88,63
Mumbai,critical,spring,13,average,False,medium,0.53,47
Pune,low,summer,5,average,False,low,0.45,20
Patna,critical,spring,14,poor,True,high,0.59,65
Bengaluru,medium,spring,6,good,False,low,0.59,21
Pune,low,summer,5,average,False,high,0.43,21
Bhubaneswar,high,monsoon,10,poor,True,high,0.79,65
Kolkata,high,summer,8,poor,False,low,0.51,42
Hyderabad,low,winter,4,average,False,low,0.6,20
Mumbai,critical,summer,13,average,False,high,0.64,50
Hyderabad,low,monsoon,7,average,False,medium,0.74,24
Pune,low,winter,5,average,False,low,0.61,20
Patna,critical,spring,10,poor,True,medium,0.46,65
Patna,critical,winter,13,poor,True,high,0.97,65
Nagpur,medium,spring,6,poor,True,medium,0.33,37
Pune,low,winter,7,average,False,medium,0.47,20
Kolkata,high,winter,9,poor,False,high,0.84,45
Patna,critical,summer,13,poor,True,low,0.34,64
Bhubaneswar,high,winter,8,poor,True,high,0.67,53
Chennai,high,winter,8,average,False,low,0.97,31
Pune,low,summer,5,average,False,medium,0.59,20
Patna,critical,summer,11,poor,True,high,0.48,65
Mumbai,critical,winter,10,average,False,high,0.7,46
Mumbai,critical,winter,9,average,False,high,0.73,46
Patna,critical,summer,10,poor,True,high,0.41,65
Bengaluru,medium,winter,5,good,False,high,0.9,25
Pune,low,summer,4,average,False,high,0.46,20
Bhubaneswar,high,winter,8,poor,True,low,0.8,43
Chennai,high,monsoon,8,average,False,high,0.6,50
Hyderabad,low,monsoon,3,average,False,medium,0.37,21
Mumbai,critical,summer,12,average,False,low,0.66,46
Bhubaneswar,high,winter,10,poor,True,low,0.65,43
Pune,low,summer,7,average,False,medium,0.53,20
Bengaluru,medium,monsoon,8,good,False,low,0.92,30
Patna,critical,spring,11,poor,True,medium,0.69,65
Delhi,medium,summer,8,good,False,high,0.57,30
Mumbai,critical,monsoon,12,average,False,low,0.88,50
Delhi,medium,winter,8,good,False,high,0.98,27
Nagpur,medium,spring,6,poor,True,high,0.7,43
Hyderabad,low,spring,3,average,False,low,0.44,20
Nagpur,medium,monsoon,6,poor,True,medium,0.86,52
Pune,low,spring,6,average,False,high,0.93,21
Delhi,medium,winter,6,good,False,high,0.32,23
Nagpur,medium,summer,8,poor,True,low,0.52,38
Kolkata,high,monsoon,10,poor,False,high,0.86,50
Pune,low,spring,4,average,False,low,0.64,20
Hyderabad,low,summer,7,average,False,medium,0.42,20
Kolkata,high,monsoon,10,poor,False,low,0.39,50
Hyderabad,low,summer,5,average,False,high,0.32,20
Bengaluru,medium,monsoon,5,good,False,medium,0.57,31
Mumbai,critical,summer,12,average,False,high,0.51,50
Kolkata,high,monsoon,10,poor,False,high,0.63,50
Patna,critical,summer,11,poor,True,medium,0.88,65
Bhubaneswar,high,spring,12,poor,True,medium,0.37,52
Hyderabad,low,winter,6,average,False,medium,0.54,20
Delhi,medium,monsoon,8,good,False,high,0.6,36
Kolkata,high,summer,12,poor,False,low,0.89,45
Mumbai,critical,summer,12,average,False,high,0.77,50
Delhi,medium,winter,9,good,False,low,0.42,20
Patna,critical,spring,13,poor,True,high,0.89,65
Pune,low,spring,6,average,False,medium,0.66,20
Kolkata,high,winter,12,poor,False,low,0.83,37
Hyderabad,low,monsoon,6,average,False,medium,0.93,25
Chennai,high,winter,7,average,False,low,0.34,28
Delhi,medium,winter,6,good,False,medium,0.77,23
Pune,low,winter,6,average,False,medium,0.61,20
Kolkata,high,monsoon,11,poor,False,high,0.68,50
Mumbai,critical,winter,11,average,False,high,0.33,45
Nagpur,medium,monsoon,6,poor,True,medium,0.5,50
Patna,critical,winter,12,poor,True,low,0.83,55
Patna,critical,spring,13,poor,True,high,0.97,65
Patna,critical,winter,13,poor,True,low,0.67,54
Mumbai,critical,winter,12,average,False,medium,0.45,41
Hyderabad,low,summer,6,average,False,high,0.47,21
Chennai,high,spring,10,average,False,high,0.88,42
Hyderabad,low,winter,3,average,False,low,0.81,20
Patna,critical,spring,12,poor,True,medium,0.77,65
Kolkata,high,summer,12,poor,False,medium,0.86,50
Mumbai,critical,winter,10,average,False,high,0.67,46
Hyderabad,low,spring,6,average,False,high,0.72,20
Chennai,high,summer,11,average,False,high,0.94,47
Bengaluru,medium,winter,4,good,False,medium,0.92,23
Chennai,high,spring,11,average,False,low,0.6,33
Kolkata,high,spring,8,poor,False,low,0.92,40
Kolkata,high,spring,12,poor,False,low,0.61,40
Patna,critical,summer,12,poor,True,low,0.66,65
Bengaluru,medium,monsoon,7,good,False,high,0.98,37
Delhi,medium,spring,7,good,False,low,0.82,23
Chennai,high,spring,7,average,False,medium,0.55,36
Kolkata,high,monsoon,10,poor,False,low,0.49,50
Chennai,high,summer,11,average,False,high,0.64,46
Nagpur,medium,monsoon,7,poor,True,high,0.63,56
Chennai,high,summer,11,average,False,medium,0.9,42
Chennai,high,monsoon,9,average,False,high,0.54,50
Hyderabad,low,summer,3,average,False,medium,0.58,20
Kolkata,high,monsoon,8,poor,False,high,0.87,50
Chennai,high,summer,7,average,False,high,0.54,44
Pune,low,winter,4,average,False,low,0.65,20
Mumbai,critical,winter,13,average,False,low,0.49,37
Chennai,high,spring,10,average,False,low,0.59,33
Nagpur,medium,summer,9,poor,True,high,0.73,49
Chennai,high,summer,8,average,False,low,0.97,37
Hyderabad,low,spring,3,average,False,low,0.3,20
Pune,low,summer,7,average,False,medium,0.48,20
Bengaluru,medium,monsoon,4,good,False,low,0.76,28
Hyderabad,low,winter,6,average,False,high,0.35,20
Bhubaneswar,high,winter,8,poor,True,low,0.59,42
Patna,critical,monsoon,11,poor,True,low,0.72,65
Bhubaneswar,high,monsoon,9,poor,True,low,0.94,62
Patna,critical,winter,13,poor,True,low,0.81,55
Hyderabad,low,monsoon,7,average,False,medium,0.88,25
Nagpur,medium,monsoon,5,poor,True,high,0.6,56
Mumbai,critical,winter,9,average,False,low,0.7,37
Bhubaneswar,high,summer,12,poor,True,medium,0.69,59
Patna,critical,winter,10,poor,True,medium,0.89,61
Kolkata,high,winter,9,poor,False,low,0.35,34
Patna,critical,summer,11,poor,True,medium,0.61,65
Delhi,medium,spring,8,good,False,low,0.9,24
Patna,critical,winter,12,poor,True,medium,0.56,60
Kolkata,high,spring,11,poor,False,high,0.67,50
Delhi,medium,spring,9,good,False,high,0.75,28
Hyderabad,low,spring,3,average,False,high,0.96,21
Mumbai,critical,summer,10,average,False,medium,0.75,50
Chennai,high,summer,11,average,False,medium,0.89,42
Nagpur,medium,spring,5,poor,True,low,0.78,35
Delhi,medium,summer,8,good,False,low,0.97,26
Bengaluru,medium,monsoon,6,good,False,medium,0.32,30
Bhubaneswar,high,winter,9,poor,True,medium,0.83,49
Hyderabad,low,monsoon,4,average,False,high,0.88,27
Hyderabad,low,monsoon,6,average,False,high,0.63,26
Kolkata,high,spring,9,poor,False,high,0.99,50
Bengaluru,medium,summer,8,good,False,medium,0.68,28
Hyderabad,low,summer,3,average,False,high,0.68,21
Kolkata,high,summer,10,poor,False,low,0.61,43
Bhubaneswar,high,monsoon,12,poor,True,low,0.42,61
Hyderabad,low,monsoon,6,average,False,high,0.98,28
Pune,low,spring,6,average,False,high,0.71,20
Nagpur,medium,summer,7,poor,True,high,0.74,48
Bengaluru,medium,winter,8,good,False,high,0.81,26
Delhi,medium,spring,6,good,False,medium,0.62,24
Pune,low,summer,7,average,False,high,0.63,22
Bengaluru,medium,monsoon,6,good,False,low,0.97,30
Hyderabad,low,monsoon,5,average,False,medium,0.67,23
Kolkata,high,summer,10,poor,False,low,0.39,42
Chennai,high,spring,10,average,False,high,0.91,43
Kolkata,high,summer,10,poor,False,low,0.66,44
Bengaluru,medium,spring,5,good,False,medium,0.67,24
Nagpur,medium,winter,7,poor,True,low,0.94,33
Mumbai,critical,monsoon,9,average,False,low,0.93,50
Delhi,medium,spring,8,good,False,low,0.84,23
Bengaluru,medium,winter,8,good,False,low,0.44,20
Patna,critical,spring,13,poor,True,high,0.61,65
Chennai,high,summer,9,average,False,low,0.92,38
Hyderabad,low,summer,7,average,False,low,0.81,20
Delhi,medium,spring,10,good,False,medium,0.81,26
Kolkata,high,monsoon,9,poor,False,medium,0.75,50
Delhi,medium,summer,8,good,False,medium,0.97,29
Mumbai,critical,winter,10,average,False,medium,0.88,43
Pune,low,monsoon,6,average,False,high,0.54,26
Hyderabad,low,summer,7,average,False,high,0.83,23
Hyderabad,low,spring,3,average,False,low,0.92,20
Mumbai,critical,monsoon,9,average,False,medium,0.35,50
Bengaluru,medium,monsoon,6,good,False,low,0.68,28
Delhi,medium,summer,10,good,False,low,0.67,25
Delhi,medium,spring,6,good,False,low,0.89,23
Kolkata,high,spring,9,poor,False,medium,0.8,45
Nagpur,medium,winter,8,poor,True,medium,0.5,35
Nagpur,medium,winter,7,poor,True,medium,0.53,35
Hyderabad,low,winter,3,average,False,high,0.75,20
Hyderabad,low,summer,7,average,False,low,0.55,20
Patna,critical,summer,10,poor,True,low,0.65,65
Bhubaneswar,high,monsoon,11,poor,True,medium,0.35,65
Delhi,medium,monsoon,7,good,False,medium,0.88,33
Nagpur,medium,winter,8,poor,True,high,0.94,41
Nagpur,medium,monsoon,8,poor,True,low,0.41,44
Delhi,medium,monsoon,7,good,False,low,0.34,27
Chennai,high,winter,7,average,False,low,0.43,28
Bhubaneswar,high,monsoon,8,poor,True,low,0.71,61
Nagpur,medium,summer,9,poor,True,high,0.36,47
Patna,critical,summer,12,poor,True,low,0.7,65
Delhi,medium,spring,9,good,False,medium,0.92,27
Mumbai,critical,summer,12,average,False,low,0.36,44
Bhubaneswar,high,winter,9,poor,True,high,0.57,52
Patna,critical,spring,11,poor,True,low,0.42,58
Hyderabad,low,winter,7,average,False,high,0.98,20
Chennai,high,spring,7,average,False,medium,0.49,36
Bengaluru,medium,winter,6,good,False,high,0.33,23
Hyderabad,low,monsoon,6,average,False,high,0.63,26
Delhi,medium,spring,8,good,False,high,0.34,26
Patna,critical,summer,11,poor,True,high,0.88,65
Delhi,medium,spring,6,good,False,high,0.91,28
Kolkata,high,spring,8,poor,False,high,0.83,50
Delhi,medium,summer,9,good,False,medium,0.82,29
Kolkata,high,spring,11,poor,False,high,0.78,50
Kolkata,high,monsoon,8,poor,False,high,0.5,50
Mumbai,critical,summer,9,average,False,high,0.38,50
Bhubaneswar,high,summer,11,poor,True,low,0.88,53
Hyderabad,low,monsoon,4,average,False,medium,0.8,24
Bhubaneswar,high,winter,8,poor,True,low,0.58,42
Chennai,high,spring,10,average,False,high,0.62,41
Bengaluru,medium,monsoon,7,good,False,medium,0.77,33
Bengaluru,medium,winter,7,good,False,low,0.45,20
Bhubaneswar,high,spring,10,poor,True,medium,0.31,51
Patna,critical,monsoon,14,poor,True,medium,0.6,65
Hyderabad,low,summer,3,average,False,low,0.66,20
Bengaluru,medium,summer,7,good,False,low,0.76,25
Pune,low,spring,6,average,False,high,0.68,20
Nagpur,medium,summer,5,poor,True,high,0.58,47
Bengaluru,medium,spring,6,good,False,high,0.46,26
Delhi,medium,monsoon,9,good,False,high,0.82,37
Pune,low,spring,5,average,False,medium,0.99,20
Pune,low,summer,7,average,False,medium,0.75,21
Kolkata,high,summer,8,poor,False,low,0.81,44
Pune,low,monsoon,4,average,False,medium,0.89,24
Mumbai,critical,winter,13,average,False,high,0.67,47
Bengaluru,medium,winter,7,good,False,low,0.48,20
Chennai,high,winter,10,average,False,medium,0.5,33
Patna,critical,winter,10,poor,True,medium,0.34,58
Chennai,high,monsoon,11,average,False,high,0.61,50
Kolkata,high,summer,9,poor,False,medium,0.67,49
Bhubaneswar,high,summer,12,poor,True,medium,0.49,58
Kolkata,high,monsoon,9,poor,False,medium,0.68,50
Mumbai,critical,monsoon,13,average,False,high,0.33,50
Chennai,high,summer,9,average,False,high,0.67,45
Kolkata,high,summer,11,poor,False,low,0.65,44
Nagpur,medium,spring,7,poor,True,medium,0.67,39
Hyderabad,low,summer,4,average,False,low,0.42,20
Kolkata,high,monsoon,9,poor,False,medium,0.31,50
Mumbai,critical,summer,11,average,False,high,0.96,50
Hyderabad,low,spring,4,average,False,medium,0.83,20
Bhubaneswar,high,spring,11,poor,True,low,0.46,47
Pune,low,summer,6,average,False,medium,0.84,21
Kolkata,high,spring,8,poor,False,high,0.31,47
Hyderabad,low,spring,6,average,False,medium,0.86,20
Hyderabad,low,spring,4,average,False,medium,0.66,20
Kolkata,high,summer,10,poor,False,high,0.58,50
Bhubaneswar,high,spring,8,poor,True,medium,0.58,52
Delhi,medium,winter,6,good,False,high,0.83,25
Chennai,high,winter,10,average,False,high,0.32,36
Mumbai,critical,summer,11,average,False,medium,0.55,50
Delhi,medium,summer,9,good,False,high,0.69,31
Delhi,medium,spring,6,good,False,medium,0.93,26
Bhubaneswar,high,summer,11,poor,True,low,0.65,52
Patna,critical,summer,14,poor,True,medium,0.97,65
Kolkata,high,monsoon,12,poor,False,high,0.97,50
Hyderabad,low,spring,5,average,False,low,0.6,20
Bhubaneswar,high,winter,10,poor,True,high,0.55,53
Pune,low,winter,5,average,False,high,0.59,20
Bengaluru,medium,winter,5,good,False,low,0.68,20
Nagpur,medium,summer,7,poor,True,low,0.32,37
Patna,critical,winter,13,poor,True,medium,0.96,62
Hyderabad,low,summer,5,average,False,low,0.87,20
Nagpur,medium,winter,9,poor,True,medium,0.84,37
Nagpur,medium,monsoon,8,poor,True,low,0.66,46
Chennai,high,winter,11,average,False,low,0.95,32
Hyderabad,low,monsoon,3,average,False,high,0.71,25
Kolkata,high,monsoon,12,poor,False,high,0.98,50
Pune,low,winter,8,average,False,high,0.61,20
Mumbai,critical,monsoon,12,average,False,medium,0.81,50
Bengaluru,medium,winter,4,good,False,high,0.83,25
Bhubaneswar,high,monsoon,12,poor,True,high,0.48,65
Mumbai,critical,monsoon,9,average,False,medium,0.54,50
Kolkata,high,spring,12,poor,False,medium,0.71,45
Chennai,high,spring,9,average,False,low,0.68,33
Bhubaneswar,high,spring,10,poor,True,medium,0.85,54
Patna,critical,summer,12,poor,True,medium,0.64,65
Chennai,high,spring,10,average,False,low,0.8,34
Hyderabad,low,summer,3,average,False,high,0.8,22
Mumbai,critical,spring,9,average,False,high,0.61,50
Delhi,medium,spring,8,good,False,medium,0.94,26
Pune,low,monsoon,8,average,False,medium,0.54,24
Delhi,medium,winter,6,good,False,high,0.4,23
Kolkata,high,monsoon,11,poor,False,high,0.9,50
Chennai,high,spring,11,average,False,low,0.68,34
Chennai,high,winter,8,average,False,low,0.65,29
Bengaluru,medium,monsoon,4,good,False,low,0.85,29
